Position,Name,Type,Signal,Label,MapleMini
22,PB11,I/O,,,0
21,PB10,I/O,,,1
20,PB2,I/O,,,2
18,PB0,I/O,,,3
17,PA7,I/O,SPI1_MOSI,,4
16,PA6,I/O,SPI1_MISO,,5
15,PA5,I/O,SPI1_SCK,,6
14,PA4,I/O,SPI1_NSS,SPI1_NSS (opt),7
13,PA3,I/O,,,8
12,PA2,I/O,,,9
11,PA1,I/O,,,10
10,PA0-WKUP,I/O,,,11
4,PC15-OSC32_OUT,I/O,,,12
3,PC14-OSC32_IN,I/O,,,13
2,PC13-TAMPER-RTC,Output,GPIO_Output,,14
43,PB7,I/O,I2C1_SDA,,15
42,PB6,I/O,I2C1_SCL,,16
41,PB5,I/O,,,17
40,PB4,I/O,,,18
39,PB3,I/O,,,19
38,PA15,I/O,,,20
37,PA14,I/O,SYS_JTCK-SWCLK,,21
34,PA13,I/O,SYS_JTMS-SWDIO,,22
33,PA12,I/O,,,23
32,PA11,I/O,,,24
31,PA10,I/O,USART1_RX,,25
30,PA9,I/O,USART1_TX,,26
29,PA8,I/O,,,27
28,PB15,I/O,,,28
27,PB14,I/O,,,29
26,PB13,I/O,,,30
25,PB12,I/O,,,31
45,PB8,I/O,CAN_RX,,32
19,PB1,Output,GPIO_Output,Blue_LED,33
1,VBAT,Power,,,
5,PD0-OSC_IN,I/O,RCC_OSC_IN,,
6,PD1-OSC_OUT,I/O,RCC_OSC_OUT,,
7,NRST,Reset,,,
8,VSSA,Power,,,
9,VDDA,Power,,,
23,VSS,Power,,,
24,VDD,Power,,,
35,VSS,Power,,,
36,VDD,Power,,,
44,BOOT0,Boot,,,
46,PB9,I/O,CAN_TX,,
47,VSS,Power,,,
48,VDD,Power,,,
